pair,pair_label,task,fixed_done,fixed_complete,best_rekv_score,best_rekv_budget,best_rekv_config,brekv_done,brekv_score,brekv_budget,score_gap_brekv_minus_best,cell_complete
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,countries,6,True,0.605,0.32352516999999986,w8-r0.3,True,0.615,0.2943774550000002,0.010000000000000009,True
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,tipsheets,6,True,0.912,0.70930879,w16-r0.7,True,0.712,0.278143484,-0.20000000000000007,True
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,hotpotqa,6,True,0.732,0.7093835219999997,w8-r0.7,True,0.56,0.2754482219999999,-0.17199999999999993,True
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,qasper,6,True,0.33,0.709383248000001,w16-r0.7,True,0.31,0.35253970199999995,-0.020000000000000018,True
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,musique,6,True,0.464,0.7093617639999998,w8-r0.7,True,0.304,0.27454659399999964,-0.16000000000000003,True
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,multifieldqa_en,6,True,0.5466666666666666,0.7093677,w16-r0.7,True,0.5,0.33536828,-0.046666666666666634,True
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,twowikimqa,6,True,0.425,0.32187672000000006,w16-r0.3,True,0.43,0.3396907650000001,0.0050000000000000044,True
pair1,S: Llama-3.1-8B; R: Llama-3.1-8B,tmath,6,True,0.3581506099999999,0.7093343799999997,w16-r0.7,True,0.35593849666666655,0.2648429900000001,-0.0022121133333333765,True
pair6,S: Llama-3.2-3B Abl.; R: DeepSeek-Llama-3B,countries,6,True,0.575,0.7112358950000005,w8-r0.7,True,0.515,0.35301523999999995,-0.05999999999999994,True
pair6,S: Llama-3.2-3B Abl.; R: DeepSeek-Llama-3B,tipsheets,6,True,0.75,0.7104676719999985,w8-r0.7,True,0.434,0.23719584399999974,-0.316,True
pair6,S: Llama-3.2-3B Abl.; R: DeepSeek-Llama-3B,hotpotqa,6,True,0.718,0.7105818219999986,w16-r0.7,True,0.488,0.25341264399999974,-0.22999999999999998,True
pair6,S: Llama-3.2-3B Abl.; R: DeepSeek-Llama-3B,qasper,6,True,0.314,0.5178685359999988,w16-r0.5,True,0.296,0.4039757879999998,-0.018000000000000016,True
pair6,S: Llama-3.2-3B Abl.; R: DeepSeek-Llama-3B,musique,6,True,0.396,0.7106729799999988,w8-r0.7,True,0.31,0.2523775539999998,-0.08600000000000002,True
pair6,S: Llama-3.2-3B Abl.; R: DeepSeek-Llama-3B,multifieldqa_en,6,True,0.5266666666666666,0.32499991999999994,w8-r0.3,True,0.49333333333333335,0.39515115999999995,-0.03333333333333327,True
pair6,S: Llama-3.2-3B Abl.; R: DeepSeek-Llama-3B,twowikimqa,6,True,0.435,0.7107025800000001,w16-r0.7,True,0.405,0.40060097999999994,-0.02999999999999997,True
pair6,S: Llama-3.2-3B Abl.; R: DeepSeek-Llama-3B,tmath,6,True,0.32663696000000003,0.7108494633333327,w8-r0.7,True,0.3154548966666663,0.25255441666666656,-0.011182063333333714,True
pair7,S: Qwen2.5-7B Unc.; R: Bespoke-Stratos-7B,countries,6,True,0.5,0.5167529750000006,w8-r0.5,True,0.485,0.4008138700000001,-0.015000000000000013,True
pair7,S: Qwen2.5-7B Unc.; R: Bespoke-Stratos-7B,tipsheets,6,True,0.954,0.7107435099999985,w16-r0.7,True,0.916,0.39804663599999973,-0.03799999999999992,True
pair7,S: Qwen2.5-7B Unc.; R: Bespoke-Stratos-7B,hotpotqa,6,True,0.482,0.710735481999999,w16-r0.7,True,0.352,0.38534502800000026,-0.13,True
pair7,S: Qwen2.5-7B Unc.; R: Bespoke-Stratos-7B,qasper,6,True,0.218,0.5178658039999989,w16-r0.5,True,0.172,0.36837178999999987,-0.04600000000000001,True
pair7,S: Qwen2.5-7B Unc.; R: Bespoke-Stratos-7B,musique,6,True,0.35,0.7107727119999998,w8-r0.7,True,0.224,0.34411705199999976,-0.12599999999999997,True
pair7,S: Qwen2.5-7B Unc.; R: Bespoke-Stratos-7B,multifieldqa_en,6,True,0.42,0.7107060000000002,w16-r0.7,True,0.31333333333333335,0.35847211333333345,-0.10666666666666663,True
pair7,S: Qwen2.5-7B Unc.; R: Bespoke-Stratos-7B,twowikimqa,6,True,0.19,0.5178581100000009,w8-r0.5,True,0.17,0.3416963749999999,-0.01999999999999999,True
pair7,S: Qwen2.5-7B Unc.; R: Bespoke-Stratos-7B,tmath,6,True,0.33654426666666687,0.7107159199999998,w8-r0.7,True,0.32942261333333334,0.39069366666666683,-0.007121653333333533,True
