pair,task,method,method_family,window,ratio_or_scale,n,score_mean,budget_mean,query_budget_mean,run_dir
pair1_llama31_same,hotpotqa,random,random,,0.3,500,0.432,0.321984,,snapshots/score_function_ablation/pair1_llama31_same/hotpotqa/mtc_random/random_r0.3_0708_1906
pair1_llama31_same,hotpotqa,random,random,,0.5,500,0.636,0.515792,,snapshots/score_function_ablation/pair1_llama31_same/hotpotqa/mtc_random/random_r0.5_0708_1932
pair1_llama31_same,hotpotqa,receiver,receiver,16,0.3,500,0.7,0.321984,,snapshots/score_function_ablation/pair1_llama31_same/hotpotqa/mtc_receiver/receiver_w16_r0.3_0708_1920
pair1_llama31_same,hotpotqa,receiver,receiver,16,0.5,500,0.746,0.515792,,snapshots/score_function_ablation/pair1_llama31_same/hotpotqa/mtc_receiver/receiver_w16_r0.5_0708_1944
pair1_llama31_same,hotpotqa,receiver,receiver,8,0.3,500,0.696,0.321984,,snapshots/score_function_ablation/pair1_llama31_same/hotpotqa/mtc_receiver/receiver_w8_r0.3_0708_1910
pair1_llama31_same,hotpotqa,receiver,receiver,8,0.5,500,0.726,0.515792,,snapshots/score_function_ablation/pair1_llama31_same/hotpotqa/mtc_receiver/receiver_w8_r0.5_0708_1935
pair1_llama31_same,hotpotqa,receiver_recency,receiver_recency,16,0.3,500,0.7,0.321984,,snapshots/score_function_ablation/pair1_llama31_same/hotpotqa/mtc_receiver_recency/receiver_recency_w16_r0.3_0708_1926
pair1_llama31_same,hotpotqa,receiver_recency,receiver_recency,16,0.5,500,0.738,0.515792,,snapshots/score_function_ablation/pair1_llama31_same/hotpotqa/mtc_receiver_recency/receiver_recency_w16_r0.5_0708_1951
pair1_llama31_same,hotpotqa,receiver_recency,receiver_recency,8,0.3,500,0.694,0.321984,,snapshots/score_function_ablation/pair1_llama31_same/hotpotqa/mtc_receiver_recency/receiver_recency_w8_r0.3_0708_1917
pair1_llama31_same,hotpotqa,receiver_recency,receiver_recency,8,0.5,500,0.724,0.515792,,snapshots/score_function_ablation/pair1_llama31_same/hotpotqa/mtc_receiver_recency/receiver_recency_w8_r0.5_0708_1941
pair1_llama31_same,hotpotqa,receiver_x_value_norm,receiver_x_value_norm,16,0.3,500,0.702,0.321984,,snapshots/score_function_ablation/pair1_llama31_same/hotpotqa/mtc_receiver_x_value_norm/receiver_x_value_norm_w16_r0.3_0708_1923
pair1_llama31_same,hotpotqa,receiver_x_value_norm,receiver_x_value_norm,16,0.5,500,0.738,0.515792,,snapshots/score_function_ablation/pair1_llama31_same/hotpotqa/mtc_receiver_x_value_norm/receiver_x_value_norm_w16_r0.5_0708_1947
pair1_llama31_same,hotpotqa,receiver_x_value_norm,receiver_x_value_norm,8,0.3,500,0.688,0.321984,,snapshots/score_function_ablation/pair1_llama31_same/hotpotqa/mtc_receiver_x_value_norm/receiver_x_value_norm_w8_r0.3_0708_1913
pair1_llama31_same,hotpotqa,receiver_x_value_norm,receiver_x_value_norm,8,0.5,500,0.726,0.515792,,snapshots/score_function_ablation/pair1_llama31_same/hotpotqa/mtc_receiver_x_value_norm/receiver_x_value_norm_w8_r0.5_0708_1938
pair1_llama31_same,hotpotqa,value_norm,value_norm,,0.3,500,0.568,0.321984,,snapshots/score_function_ablation/pair1_llama31_same/hotpotqa/mtc_value_norm/value_norm_r0.3_0708_1902
pair1_llama31_same,hotpotqa,value_norm,value_norm,,0.5,500,0.68,0.515792,,snapshots/score_function_ablation/pair1_llama31_same/hotpotqa/mtc_value_norm/value_norm_r0.5_0708_1930
