pair,task,kind,method,window,ratio,n,score,actual_budget,budget_std,protocol_version,query_sketch_mode,path,coverage_achieved,coverage_satisfied_layer_ratio,tau,scale
pair1_llama31_same,tipsheets,fairness_rekv,ReKV,8,0.1,500,0.378,0.13297973200000016,0.006700082917874136,query_sketch_bf16_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/tipsheets/fairness_rekv/rekv_w8_r0.10_0715_1337,nan,nan,,
pair1_llama31_same,tipsheets,fairness_rekv,ReKV,8,0.15,500,0.426,0.17641095999999995,0.002419793467064178,query_sketch_bf16_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/tipsheets/fairness_rekv/rekv_w8_r0.15_0715_1339,nan,nan,,
pair1_llama31_same,tipsheets,fairness_rekv,ReKV,8,0.2,500,0.46,0.225098272,0.0023369363296490676,query_sketch_bf16_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/tipsheets/fairness_rekv/rekv_w8_r0.20_0715_1341,nan,nan,,
pair1_llama31_same,tipsheets,fairness_rekv,ReKV,8,0.25,500,0.524,0.2734495499999996,0.0025942190857423044,query_sketch_bf16_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/tipsheets/fairness_rekv/rekv_w8_r0.25_0715_1342,nan,nan,,
pair1_llama31_same,tipsheets,fairness_rekv,ReKV,8,0.3,500,0.572,0.321858474,0.0025164399100646006,query_sketch_bf16_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/tipsheets/fairness_rekv/rekv_w8_r0.30_0715_1344,nan,nan,,
pair1_llama31_same,tipsheets,fairness_rekv,ReKV,8,0.35,500,0.686,0.3702170620000003,0.0023834253440999146,query_sketch_bf16_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/tipsheets/fairness_rekv/rekv_w8_r0.35_0715_1345,nan,nan,,
pair1_llama31_same,tipsheets,fairness_rekv,ReKV,8,0.4,500,0.782,0.4187819659999998,0.002379786941854517,query_sketch_bf16_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/tipsheets/fairness_rekv/rekv_w8_r0.40_0715_1347,nan,nan,,
pair1_llama31_same,tipsheets,fairness_rekv,ReKV,8,0.5,500,0.872,0.5155891199999998,0.002970699759268758,query_sketch_bf16_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/tipsheets/fairness_rekv/rekv_w8_r0.50_0715_1348,nan,nan,,
pair1_llama31_same,tipsheets,fairness_rekv,ReKV,8,0.6,500,0.902,0.6124680340000002,0.0023797869418545037,query_sketch_bf16_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/tipsheets/fairness_rekv/rekv_w8_r0.60_0715_1349,nan,nan,,
pair1_llama31_same,tipsheets,fairness_evict,ValueNorm/Evict,,0.1,500,0.384,0.13297973200000016,0.006700082917874136,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/tipsheets/fairness_evict/evict_r0.10_0715_1351,nan,nan,,
pair1_llama31_same,tipsheets,fairness_evict,ValueNorm/Evict,,0.15,500,0.522,0.17641095999999995,0.002419793467064178,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/tipsheets/fairness_evict/evict_r0.15_0715_1352,nan,nan,,
pair1_llama31_same,tipsheets,fairness_evict,ValueNorm/Evict,,0.2,500,0.582,0.225098272,0.0023369363296490676,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/tipsheets/fairness_evict/evict_r0.20_0715_1353,nan,nan,,
pair1_llama31_same,tipsheets,fairness_evict,ValueNorm/Evict,,0.25,500,0.622,0.2734495499999996,0.0025942190857423044,query_agnostic_kv_v1,bf16,/home/xay/KVMergeComm/snapshots/full_matched_budget_fairness_query_sketch/pair1_llama31_same/tipsheets/fairness_evict/evict_r0.25_0715_1354,nan,nan,,
